headline,url,published_date,year,month
'Saina Squad' makes its presence felt - The Hindu,https://www.thehindu.com/sport/other-sports/saina-squad-makes-its-presence-felt/article7981658.ece,,,
LIC eases claim settlement norms for Tamil Nadu customers - The ...,https://www.thehindu.com/business/lic-eases-claim-settlement-norms-for-tamil-nadu-customers/article7958517.ece,,,
Udta Punjab wins big at IIFA awards - The Hindu,https://www.thehindu.com/entertainment/movies/udta-punjab-wins-big-at-iifa-awards/article19290336.ece,,,
'ULIPs may attract more investors in 2018' - The Hindu,https://www.thehindu.com/business/ulips-may-attract-more-investors-in-2018/article22271475.ece,,,
Messi targets Copa Centenario cup | Latest News | The Hindu,https://www.thehindu.com/sport/football/Messi-targets-Copa-Centenario-cup/article60508593.ece,,,
"Diplodocus, again - The Hindu",https://www.thehindu.com/opinion/open-page/diplodocus-again/article19819865.ece,,,
"Everyone knows my strategy, are going to mark me: Sindhu - The ...",https://www.thehindu.com/sport/other-sports/everyone-knows-my-strategy-will-mark-me/article29385046.ece,,,
Chile stun Argentina to lift Copa America title - The Hindu,https://www.thehindu.com/sport/football/Chile-stun-Argentina-to-lift-Copa-America-title/article60562664.ece,,,
Chile stun Argentina to lift Copa America title - The Hindu,https://www.thehindu.com/sport/football/Chile-stun-Argentina-to-lift-Copa-America-title/article60562664.ece,,,
Higher provisioning hits PNB net - The Hindu,https://www.thehindu.com/business/companies/higher-provisioning-hits-pnb-net/article2302603.ece,,,
"I'll be marked now, need to find new strategy every time, says ...",https://www.thehindu.com/sport/other-sports/ill-be-marked-now-need-to-find-new-strategy-every-time-says-sindhu/article29384735.ece,,,
"I'll be marked now, need to find new strategy every time, says ...",https://www.thehindu.com/sport/other-sports/ill-be-marked-now-need-to-find-new-strategy-every-time-says-sindhu/article29384735.ece?homepage=true,,,
Life insurance companies to discuss SEBI order - The Hindu,https://www.thehindu.com/business/Life-insurance-companies-to-discuss-SEBI-order/article16365475.ece,,,
Lionel Messi retires from international football - The Hindu,https://www.thehindu.com/sport/football/Lionel-Messi-retires-from-international-football/article60569883.ece,,,
"Northwest Hyderabad leads real estate boom with ₹71,926 crore ...",https://www.thehindu.com/news/cities/Hyderabad/northwest-hyderabad-leads-real-estate-boom-with-71926-crore-sales-in-2024/article69234172.ece,,,
IIFA awards 2017 - The Hindu,https://www.thehindu.com/entertainment/movies/international-indian-film-academy-2017-awards-in-new-york/article56832780.ece,,,
"Deepika spills beans on Hollywood project, IIFA performance - The ...",https://www.thehindu.com/entertainment/Deepika-spills-beans-on-Hollywood-project-IIFA-performance/article14399230.ece,,,
FIFA to pay $1 billion prize money for Club World Cup: source - The ...,https://www.thehindu.com/sport/football/fifa-to-pay-1-billion-prize-money-for-club-world-cup-source/article69295884.ece,,,
Ed Sheeran to return to India for '+ - = ÷ x Tour' in 2024 - The Hindu,https://www.thehindu.com/entertainment/ed-sheeran-to-return-to-india-for-%C3%B7-x-tour-in-2024/article67441718.ece,,,
Ed Sheeran to return to India for '+ - = ÷ x Tour' in 2024 - The Hindu,https://www.thehindu.com/entertainment/ed-sheeran-to-return-to-india-for-%C3%B7-x-tour-in-2024/article67441718.ece,,,
Will achieve ambitious economic agenda by elections ...,https://www.thehindu.com/business/Economy/will-achieve-ambitious-economic-agenda-by-elections-chidambaram/article4629904.ece,,,
In the league of winners - The Hindu,https://www.thehindu.com/sport/other-sports/in-the-league-of-winners/article3889114.ece,,,
Merged PSBs must cut stake in insurers - The Hindu,https://www.thehindu.com/business/merged-psbs-must-cut-stake-in-insurers/article29363424.ece,,,
Archive - Page 3 - The Hindu,https://www.thehindu.com/archive/web/2019/01/31/?page=3,,,
Trump to lead task force preparing for 2026 World Cup - The Hindu,https://www.thehindu.com/news/international/trump-to-lead-task-force-preparing-for-2026-world-cup/article69305600.ece,,,
Insurance repositories focus on transactions for revenue - The Hindu,https://www.thehindu.com/news/national/andhra-pradesh/insurance-repositories-focus-on-transactions-for-revenue/article5139178.ece,,,
IIFA awards: A green carpet welcome - The Hindu,https://www.thehindu.com/entertainment/IIFA-awards-A-green-carpet-welcome/article14401264.ece,,,
IIFA 2017 kicks off - The Hindu,https://www.thehindu.com/entertainment/movies/iifa-2017-kicks-off/article19276741.ece,,,
Copa America semifinal: Lionel Messi will start against Canada ...,https://www.thehindu.com/sport/football/copa-america-semifinal-lionel-messi-will-start-against-canada-says-argentina-coach-lionel-scaloni/article68383690.ece,,,
SEBI bans 14 insurance companies from raising money for ULIP ...,https://www.thehindu.com/business/Industry/SEBI-bans-14-insurance-companies-from-raising-money-for-ULIP/article16365303.ece,,,
SEBI bans 14 insurance companies from raising money for ULIP ...,https://www.thehindu.com/business/Industry/SEBI-bans-14-insurance-companies-from-raising-money-for-ULIP/article16365303.ece,,,
"Here's a look at personalities whose lives can, hypothetically ...",https://www.thehindu.com/entertainment/movies/heres-a-look-at-personalities-whose-lives-can-hypothetically-translate-to-engaging-movies/article23837001.ece,,,
IRDA asks insurance companies to ignore SEBI order - The Hindu,https://www.thehindu.com/business/Industry/IRDA-asks-insurance-companies-to-ignore-SEBI-order/article16365559.ece,,,
Spain joins forces with Bollywood to boost tourism - The Hindu,https://www.thehindu.com/features/cinema/Spain-joins-forces-with-Bollywood-to-boost-tourism/article14431841.ece,,,
Archive Articles from web 2010/03/08/ - The Hindu,https://www.thehindu.com/archive/web/2010/03/08/,,,
Sindhu hopes to turn the tide in upcoming tournaments this month ...,https://www.thehindu.com/sport/other-sports/sindhu-hopes-to-turn-the-tide-in-upcoming-tournaments-this-month/article28284473.ece,,,
"News from the world of Education: June 28, 2023 - The Hindu",https://www.thehindu.com/education/news-from-the-world-of-education-june-28-2023/article67020924.ece,,,
The economic impact of the first leg of Taylor Swift's Eras Tour ...,https://www.thehindu.com/entertainment/music/the-economic-impact-of-the-first-leg-of-taylor-swifts-eras-tour-explained/article67276350.ece,,,
ULIPs: lock-in period raised to 5 years - The Hindu,https://www.thehindu.com/business/Economy/ULIPs-lock-in-period-raised-to-5-years/article16271171.ece,,,
42 India Post Payments Bank branches to open on Sept. 1 - The Hindu,https://www.thehindu.com/news/cities/mumbai/42-india-post-payments-bank-branches-to-open-on-sept-1/article24824051.ece,,,
Messi targets Copa Centenario cup - The Hindu,https://www.thehindu.com/sport/football/Messi-targets-Copa-Centenario-cup/article14378269.ece,,,
Messi targets Copa Centenario cup - The Hindu,https://www.thehindu.com/sport/football/Messi-targets-Copa-Centenario-cup/article14378269.ece,,,
Messi ready for crowning glory in Copa final - The Hindu,https://www.thehindu.com/sport/football/Copa-America-Centenario-2016-Argentina-vs-Chile-finals/article60575740.ece,,,
Archive - Page 4 - The Hindu,https://www.thehindu.com/archive/web/2024/06/13/?page=4,,,
Archive - Page 2 - The Hindu,https://www.thehindu.com/archive/web/2019/09/26/?page=2,,,
NRA honours U.S. FCC chair Ajit Pai with rifle for repealing 'net ...,https://www.thehindu.com/business/Economy/nra-honours-us-fcc-chair-ajit-pai-with-rifle-for-repealing-net-neutrality/article22845853.ece,,,
"Latest international tournament News, Photos, Latest News ...",https://www.thehindu.com/tag/1843-1807-1569/?page=6,,,
"Latest international tournament News, Photos, Latest News ...",https://www.thehindu.com/tag/1843-1807-1569/?page=6,,,
"Copa America: Argentina advances to quarterfinals, beats Chile 1-0 ...",https://www.thehindu.com/sport/football/copa-america-argentina-advances-to-quarterfinals-beats-chile-1-0-on-martinezs-goal/article68334825.ece,,,
"Latest Commonwealth Games News, Photos, Latest News ...",https://www.thehindu.com/tag/1809-1807-1569/,,,
"Shakira, Jennifer Lopez headline Super Bowl halftime show - The ...",https://www.thehindu.com/sport/other-sports/13-minutes-13-million-the-logistics-of-pulling-off-a-super-bowl-halftime-show/article30724093.ece,,,
USISPF | COVID-19 proves Indian economy's resilience: FM Nirmala ...,https://www.thehindu.com/business/Economy/usispf-covid-19-proves-indian-economys-resilience-fm-nirmala-sitharaman/article34958538.ece,,,
USISPF | COVID-19 proves Indian economy's resilience: FM Nirmala ...,https://www.thehindu.com/business/Economy/usispf-covid-19-proves-indian-economys-resilience-fm-nirmala-sitharaman/article34958538.ece,,,
Archive - Page 1 - The Hindu,https://www.thehindu.com/archive/web/2018/10/22/?page=1,,,
Archive Articles from web 2018/10/22/ - The Hindu,https://www.thehindu.com/archive/web/2018/10/22/,,,
Saraswat Cooperative Bank to sell LIC products under ...,https://www.thehindu.com/business/saraswat-cooperative-bank-to-sell-lic-products-under-bancassurance-tie-up/article67235537.ece,,,
"LIC raises Rs 5,627 crore from anchor investors led by domestic ...",https://www.thehindu.com/business/markets/lic-raises-rs-5627-crore-from-anchor-investors-led-by-domestic-institutions/article65377827.ece,,,
"Latest Summer Asian Games News, Photos, Latest News Headlines ...",https://www.thehindu.com/tag/1818-1807-1569/?page=6,,,
"LIC raises ₹5,627 crore from anchor investors led by domestic ...",https://www.thehindu.com/business/lic-raises-5627-crore-from-anchor-investors-led-by-domestic-institutions/article65379024.ece,,,
"Latest world championship News, Photos, Latest News Headlines ...",https://www.thehindu.com/tag/1854-1807-1569/?page=2,,,
"Latest world championship News, Photos, Latest News Headlines ...",https://www.thehindu.com/tag/1854-1807-1569/?page=3,,,
"Latest Indonesia News, Photos, Latest News Headlines about ...",https://www.thehindu.com/tag/329-244/?page=8,,,
