headline,content,published_date,article_url
Billionaire Selena Gomez rubs fans the wrong way by posting Instagram photo - users call it rich person behaviour,Selena Gomez is in the news. She attended Beyonce's concert at MetLife Stadium. Gomez watched a New York Knicks game on her phone during the event. She posted about it on Instagram. This sparked debate online. Some users criticized her actions.,"28 May, 2025, 10:04 PM IST",https://economictimes.indiatimes.com/news/international/us/billionaire-selena-gomez-rubs-fans-the-wrong-way-by-posting-instagram-photo-users-call-it-rich-person-behaviour/articleshow/121470086.cms
"Is Shakira physically fit? After abdominal pain, the singer now falls onstage at Montreal concert","Shakira's ""Las Mujeres Ya No Lloran"" tour has experienced both triumphs and challenges. Despite a fall onstage in Montreal during ""Whenever, Whenever,"" she recovered swiftly and continued her performance. Earlier, she had to postpone a show in Peru due to an abdominal issue.","27 May, 2025, 08:38 PM IST",https://economictimes.indiatimes.com/news/international/us/is-shakira-physically-fit-after-abdominal-pain-the-singer-now-falls-onstage-at-montreal-concert/articleshow/121441630.cms
"Shakira's concert sparks measles outbreak scare: Check a list of most-affected US states, symptoms and vaccine","A measles outbreak, the worst in over two decades, is sweeping the US, with Texas as the epicenter. Over 1,000 cases have been confirmed across 31 states, resulting in three deaths. Health officials are concerned about declining vaccination rates and the potential loss of the nation's measles elimination status, urging people to get vaccinated.","22 May, 2025, 04:39 PM IST",https://economictimes.indiatimes.com/news/international/global-trends/shakiras-concert-sparks-measles-outbreak-scare-check-a-list-of-most-affected-us-states-symptoms-and-vaccine/articleshow/121339205.cms
Indian football fans can skip long US visa wait times for FIFA 2026 by travelling to Canada or Mexico,"Indian football fans planning to attend the FIFA World Cup 2026 can consider Canada and Mexico. These countries offer faster visa processing compared to the United States. Matches will be held in Toronto, Vancouver, Mexico City, Guadalajara, and Monterrey. Fans can avoid long US visa delays by applying through Canada or Mexico.","22 May, 2025, 12:18 PM IST",https://economictimes.indiatimes.com/nri/visit/indian-football-fans-can-skip-long-us-visa-wait-times-for-fifa-2026-by-travelling-to-canada-or-mexico/articleshow/121332775.cms
Planning to attend FIFA World Cup 2026 in the US? Now is the time to apply for your visa,"Indian football fans, get ready for the FIFA World Cup 2026 in the United States. Visa application is a must now. US consulates across India are facing long wait times. The tournament will be hosted by the United States, Mexico, and Canada. The US will host most of the matches. Apply early to avoid any last-minute issues.","22 May, 2025, 12:17 PM IST",https://economictimes.indiatimes.com/nri/visit/planning-to-attend-fifa-world-cup-2026-in-the-us-now-is-the-time-to-apply-for-your-visa/articleshow/121331735.cms
Did Shakira's concert in New Jersey last week contribute to the spread of the world's most infectious disease? Here's what reports say,"After a Shakira concert in New Jersey, health officials warned fans about possible measles exposure. One infected person attended, raising concerns over the spread of this fast-moving disease among thousands at the venue.","22 May, 2025, 12:42 AM IST",https://economictimes.indiatimes.com/news/international/us/did-shakiras-concert-in-new-jersey-last-week-contribute-to-the-spread-of-the-worlds-most-infectious-disease-heres-what-reports-say/articleshow/121324030.cms
"FIFA Club World Cup 2025 US ticket sales begins: Check venues, dates, teams, live streaming details","The FIFA Club World Cup 2025 will be arriving in the US in an all new format. The fixtures will begin on June 15 and culminate with a finale in July. With stars like Messi and Mbappé expected to play in the tournament, fans can get their hands on tickets using the details below.","15 May, 2025, 01:46 AM IST",https://economictimes.indiatimes.com/news/international/us/fifa-club-world-cup-2025-us-ticket-sales-begins-check-venues-dates-teams-live-streaming-details/articleshow/121171343.cms
"New Jersey Transit strike could impact 350,000 commuters; no 'train or bus service' for Shakira's concerts","Union representing engineers of New Jersey Transit’s commuter trains will walk out on early Friday if the contract deal is not reached anytime soon. The strike, first in more than four decades, will affect thousands of commuters in the US state. It could also impact those willing to attend Shakira’s concert, as she is scheduled to perform in the city later this week.","13 May, 2025, 10:24 PM IST",https://economictimes.indiatimes.com/news/international/us/new-jersey-transit-strike-could-impact-350000-commuters-no-train-or-bus-service-for-shakiras-concerts/articleshow/121144674.cms
George Heber Joseph joins Blackstone–backed ASK Investment Managers as CIO and CEO (Equity),"ASK Investment Managers has appointed George Heber Joseph as CIO and CEO (Equity) to lead its equity platform, including PMS, AIFs, and upcoming mutual funds. With decades of market experience, George will drive innovation, expand product offerings, and strengthen ASK’s position across investor segments with a fundamentals-driven, data-backed investment approach.","06 May, 2025, 05:22 PM IST",https://economictimes.indiatimes.com/mf/mf-news/george-heber-joseph-joins-blackstonebacked-ask-investment-managers-as-cio-and-ceo-equity/articleshow/120932008.cms
MetLife first-quarter profit rises on strong investment gains; launches $3 billion buyback,"MetLife reported a nearly 5% rise in first-quarter profit, fueled by higher premiums and investment income, further announcing a $3 billion share buyback. Increased risk from cyber attacks and global events has sustained insurance spending, leading to higher premium prices. The insurer will also reinsure $10 billion in U.S. retail variable annuity reserves.","01 May, 2025, 07:32 AM IST",https://economictimes.indiatimes.com/markets/stocks/news/metlife-first-quarter-profit-rises-on-strong-investment-gains-launches-3-billion-buyback/articleshow/120781554.cms
Insurance mafia turned death into business; 800-page chargesheet filed in scam worth hundreds of crores,"An insurance scam, amounting to hundreds of crores, has been exposed in Uttar Pradesh's Sambhal district, leading to an 800-page chargesheet against 11 accused from multiple states. The 'insurance mafia' allegedly created fraudulent life insurance policies for terminally ill or deceased individuals, siphoning funds from leading insurance companies.","19 Apr, 2025, 10:24 AM IST",https://economictimes.indiatimes.com/news/india/insurance-mafia-turned-death-into-business-800-page-chargesheet-filed-in-scam-worth-hundreds-of-crores/articleshow/120423771.cms
PNB MetLife announces Rs 594 crore bonus to policyholders for FY22,"The insurer said it has been consistently declaring bonuses on participating products every year, and the bonus amount for FY22 is 12 per cent higher than that of FY21. This bonus sum will benefit 4.95 lakh customers whose policies were in force as of 31st March 2022, PNB MetLife said in a release.","14 Jul, 2022, 10:13 PM IST",https://economictimes.indiatimes.com/industry/banking/finance/insure/pnb-metlife-announces-rs-594-crore-bonus-to-policyholders-for-fy22/articleshow/92881473.cms
MetLife to hike stake in India JV to over 42%,"New York-based insurer MetLife is set to increase its stake in its Indian life insurance joint venture PNB MetLife by acquiring 15.27% held by the Dabriwala family, for Rs 1,906 crore, the firm announced on Monday. The move, which values PNB MetLife at around Rs 12,480 crore, will be subject to regulatory approvals from both the Competition Commission of India and the Insurance Regulatory and Development Authority of India (Irdai).","05 Oct, 2021, 06:49 AM IST",https://economictimes.indiatimes.com/markets/stocks/news/metlife-to-hike-stake-in-india-jv-to-over-42/articleshow/86767751.cms
"Metlife plans to raise its stake in Indian venture; acquire stake of IGE, Elpro",MetLife said it had entered into an agreement with IGE India and Elpro International to acquire their combined stake of 15.27% in PNB MetLife India Insurance Company Limited. The deal will boost MetLife's stake in PNB MetLife to more than 47%.,"04 Oct, 2021, 09:17 PM IST",https://economictimes.indiatimes.com/industry/banking/finance/insure/metlife-plans-to-raise-its-stake-in-indian-venture-acquire-stake-of-ige-elpro/articleshow/86759189.cms
PNB MetLife to sell policies to Baharain Bank customers,"As a part of this tie-up, PNB MetLife will offer its wide array of best-in-class and innovative insurance solutions to BBK's India customers spread across its branches, said PNB MetLife.","10 Nov, 2017, 06:03 PM IST",https://economictimes.indiatimes.com/industry/banking/finance/insure/pnb-metlife-to-sell-policies-to-baharain-bank-customers/articleshow/61595340.cms
PNB MetLife appoints Ashish Kumar Srivastava as MD and CEO,Ashish joined PNB MetLife in 2013 as the Head of Human Resources before subsequently moving to Dubai in 2015 to take charge of Human Resources for the MetLife Middle East and Africa (MEA) region.,"09 Oct, 2017, 12:53 PM IST",https://economictimes.indiatimes.com/industry/banking/finance/insure/pnb-metlife-appoints-ashish-kumar-srivastava-as-md-and-ceo/articleshow/61002909.cms
"PNB gets regulatory approvals for acquiring 30% stake in Metlife India Insurance, company to be re-branded",Punjab National Bank today said it has received all regulatory approvals for acquiring 30 per cent stake in Metlife India Insurance.,"04 Jan, 2013, 06:44 PM IST",https://economictimes.indiatimes.com/wealth/personal-finance-news/pnb-gets-regulatory-approvals-for-acquiring-30-stake-in-metlife-india-insurance-company-to-be-re-branded/articleshow/17887422.cms
CCI approves stake buy by PNB in MetLife India Insurance,Fair trade regulator CCI has approved 30 per cent stake purchase by state-owned Punjab National Bank (PNB) in MetLife India Insurance Company.,"03 Jan, 2013, 08:56 PM IST",https://economictimes.indiatimes.com/industry/banking/finance/banking/cci-approves-stake-buy-by-pnb-in-metlife-india-insurance/articleshow/17875489.cms
MetLife launches new term insurance product online,"Private sector insurer MetLife India Insurance today launched a term insurance product Met Protect, the first such life cover plan by the company to be available online.","13 Oct, 2010, 02:55 PM IST",https://economictimes.indiatimes.com/wealth/personal-finance-news/metlife-launches-new-term-insurance-product-online/articleshow/6741556.cms
