headline,full_content,published_date,year,month,url
Udta Punjab wins big at IIFA awards,"The 18th edition of the International Indian Film Academy awards ended on a high with                         Udta Punjab         winning four awards on Saturday night.                         Neerja         and                         Ae Dil Hai Mushkil         won three awards each.

Over 40,000 people cheered for their favourite Bollywood stars as they walked the IIFA Green Carpet ahead of the awards ceremony at MetLife Stadium in New Jersey.

The hosts for the evening, Karan Johar and Saif Ali Khan, kept the audience in splits with great repartee and witty conversations with fellow Bollywood celebrities.

Alia Bhatt’s debut in IIFA saw her performing to a medley of hit songs from her movies. Sushant Singh Rajput and Kriti Sanon wooed the audience with their crackling chemistry as they jived to retro tracks.

Katrina Kaif caused a storm on stage with her pulsating performance and Salman Khan danced away to songs from                         Tubelight        .

Shahid Kapoor and Alia Bhatt walked away with the Best Actor awards for their film                         Udta Punjab        . The Best Direction award went to Aniruddha Roy Chowdhury for                         Pink         and                         Neerja         won the award for Best Film. In a special category, Taapsee Pannu won the Woman of the Year award for                         Pink        .

The Best Performance in a Negative Role title went to Jim Sarbh for                         Neerja        . Shakun Batra and Ayesha DeVitre won the award for the Best Story for                         Kapoor & Sons        .

Ae Dil Hai Mushkil         dominated the music categories. Pritam took home the Best Music Director honour, the Best Playback Singer (Male) award was taken by Amit Mishra and Amitabh Bhattacharya won the Best Lyricist prize. Tulsi Kumar and Kanika Kapoor shared the Best Playback Singer (Female) honour for                         Airlift         and                         Udta Punjab         respectively.

Varun Dhawan’s performance in                         Dishoom         earned him the title of Best Actor in a Comic Role. Disha Patani won the Best Debut (Female) award for                         MS Dhoni: The Untold Story         and Diljit Dosanjh took the Best Debut (Male) for                         Udta Punjab        .

Shabani Azmi’s performance in                         Neerja         and Anupam Kher’s work in                         MS Dhoni: The Untold Story         earned them the Best Supporting Actor awards.

(The writer was in New York on an invitation from the IIFA)

Published - July 16, 2017 10:47 pm IST",16-Jul-17,2017,July,https://www.thehindu.com/entertainment/movies/udta-punjab-wins-big-at-iifa-awards/article19290336.ece
‘ULIPs may attract more investors in 2018’,"Bajaj Allianz Life Insurance has recorded 89% growth in new business premium in its unit linked insurance plans (ULIPs), riding on the boom in the equity markets. ULIPs would be an attractive investment option for retail investors in 2018, says                           Tarun Chugh          , the firm’s CEO and MD, in an interview. Edited excerpts:

What is the outlook for insurance industry in FY18?

The major trend in the banking, financial services and insurance (BFSI) space is the uptake in the equity markets, especially from retail investors. We have seen 89% growth in new business premium of our Unit Linked Insurance Plans (ULIPs) from April to September 2017. We also expect this trend to continue in the new year as equity markets are looking up. [We are] planning to launch more ULIP products in the months to come.

What are the three top trends in digitisation of insurance that you have seen in the last three years?

Insurers have realised the value of digitisation in insurance.

It leads to enhancement of customer experience, creates new business opportunities, helps in reducing costs, allows operational flexibility and drives engagement with customers on a real-time basis. The top three trends, addressing these business opportunities, would be: end-to-end paperless processes from presales to underwriting to post-sales services; growth in online sales; providing services which are quick, non-intrusive and available 24x7

Rapidly changing consumer behaviour is reshaping the insurance industry. How will digitisation impact customers?

Consumer behaviour has been reshaped with the advent of digital and e-commerce companies in the last two decades. This gamut of digitisation, brought in by these companies, is continuously evolving. Its impact can be seen in the way consumers, both new and traditional, are engaging with businesses. Consumers today have greater access to real time information. Hence, it is vital that organisations acknowledge this shift in consumer behaviour.

This change is challenging insurers, who are not digitally native, to focus on products, business models and service delivery models which are end-to-end digital. This will result in better offerings in the form of improvised offerings, reduced TATs (turn around time) and personalised experiences.

We are continuously investing in improving our offerings on the digital platforms, both through our own website and via web aggregators. Contribution of online sales to our entire portfolio has been increasing rapidly.

We are also embracing digitisation to stay in tune with the expectations of the end consumer and making our processes paperless. A customer today can have his proposal form digitally filled on a tab, complete his E-KYC via Aadhaar verification and have his policy document delivered electronically via mail and stored in IRDAI authorised e-repositories such as CAMS, KARVY and NSDL.

How has the agent-company relationship evolved?

At Bajaj Allianz Life Insurance, agency continues to be the key distribution channel with nearly 86% of the retail-rated new business premium being routed through this channel. Nearly 77% of the company’s total customers are mass and sub-mass segments. Their ability to buy high premium products, multiple policies and risk-taking capacity was limited. Thus, this year, we focused on improving our product mix to cater to affluent and mass affluent segments.

In September, we introduced I-smart, a comprehensive portal for our agents. I-smart is available on mobile and tablet devices, and has already seen 12,500 downloads with 5,000 agents using it on a daily basis and 500 fresh downloads every day.

Today, mobile should be considered as the consumer’s remote control to start engagement with brand. From real-time executions to native campaigns, location-based targeting and advertising, mobile’s power is that it’s personal; all-pervasive – it’s with the consumers all day, from first thing in the morning till the last thing at night; and useful – it is consumed on the go. In other words, Mobile-based touchpoints will be the face for not only the life insurance sector, but also across BFSI space as mobile-based touchpoints can reduce complexities in underwriting, distribution and product servicing, and increase customer engagement on real time basis.

How do you ensure data security?

Bajaj Allianz Life Insurance has implemented Data loss prevention (DLP) solution which protects sensitive information going outside company network via Mail, USB or Network. We have [also] implemented Mobile Device Management (MDM) for all mobile devices accessing company mails. This prevents users from downloading any attachment to mobile devices. All company-related information can be wiped out in case a device is lost.

In tier 2 / 3 markets, we have extensively used analytics to understand the customer needs better and thereafter provide the right product. We have worked on our product portfolio and have the right mix of product offerings across both Traditional and ULIP categories that suit customer needs. We are one of the largest players in the Tier 2 / 3 markets and are looking at further enhancing our presence by recruiting an additional 10,000 agents by the end of this fiscal. We have also intensified our insurance awareness drives by conducting roadshows and                         nukkad nataks         which educate consumers about the importance of being insured and to existing customers with policy renewal at their doorstep.

Why are so many insurance companies going in for IPOs?

IRDA’s (Insurance and Regulatory Development Authority) move to relax capital raising norms whereby it allowed insurance companies [in existence for] over 10 years to go public, has led to a slew of IPOs.

Listing on the stock market has been principally taken by companies to raise capital for expansion of operations, increase liquidity for shareholders, enhance brand image and create valuable currency stocks that can be used to make acquisitions and compensate employees.

It is likely these IPOs will bring about better awareness regarding insurance services among the investing public. That may translate into an increase in insurance penetration (percentage of insurance premia to GDP), better products and enhanced service standards.

Does Bajaj Allianz Life also have plans for an IPO?

No, we are not looking at an IPO [any time] soon.

Published - December 24, 2017 10:05 pm IST

economy, business and finance",24-Dec-17,2017,December,https://www.thehindu.com/business/ulips-may-attract-more-investors-in-2018/article22271475.ece
Messi targets Copa Centenario cup,"Lionel Messi and Argentina will be targeting the country’s 23-year title drought when the Copa America Centenario kicks off on Friday after a troubled build-up marred by corruption allegations which threatened to derail the event.

One hundred years after Uruguay clinched the inaugural four-team South American championship in Argentina, 16 teams from across the Americas are gathered in the United States for a special one-off edition of the tournament.

The three-week festival of football gets under way at the Levi's Stadium in California on Friday, when the United States face Colombia at the home of the San Francisco 49ers American football team.

The tournament will conclude with a final at New Jersey's MetLife Stadium in East Rutherford on June 26, drawing a line under what is arguably the biggest tournament held in the United States since the 1994 World Cup.

Billed as a celebration of football across the Americas, 10 South American teams and six teams from the CONCACAF (North America, Central America and the Caribbean) region make up the field.

For organizers, the mere fact that the tournament is taking place at all is something of a triumph.

For several months last year the Copa faced an uncertain future after the arrest and indictment for corruption of several officials from South America and CONCACAF responsible for dreaming up the tournament.

'World Cup of Fraud':         When plans for the tournament were launched at a glitzy event in Miami in 2014, CONCACAF President Jeffrey Webb stood proudly alongside South American federation (CONMEBOL) chief Eugenio Figueredo.

“The American continent may have been discovered in 1492, but I can't imagine a better way to unite this continent than with football,” Webb said.

Yet if prosecutors have their way, both men may soon be united behind bars.

Webb and Figueredo were among several officials arrested in Switzerland in May 2015 as part of the US-led corruption investigation which ultimately led to the sensational downfall of FIFA President Sepp Blatter.

With impeccable timing, Webb is due to appear in a New York courtroom on Friday — the day of the opening match — to face sentencing for his role in the scandal.

Figueredo, 84, was extradited to Uruguay from Switzerland last December and also faces criminal prosecution.

Both Figueredo and Webb — as well as former CONMEBOL chief Nicolas Leoz — are accused of pocketing millions of dollars in bribes linked to the award of media rights for the tournament, part of a scam dubbed a ""World Cup of Fraud"".

'We deserve championship'        : The sleazy background to the competition threatened to take the shine off an event which will bring together some of the world's best players.

Messi and Argentina will be aiming to win the country's first major title since the 1993 Copa America after a series of recent near-misses.

The Argentines lost both the 2014 World Cup final and the 2015 Copa America in Chile. Messi, due in Spain this week to attend his trial for tax fraud, says it is time Argentina's talented players delivered.

“It has been a very long time since Argentina has won anything, and this group came very close in the World Cup and at the last Copa America,” he told Sports Illustrated on the eve of the tournament.

“I think we deserve to be champions of an important competition.”

Argentina opens their campaign against Chile in Santa Clara next Monday. Panama and Bolivia complete Group D.

The United States meanwhile will aim to build on their encouraging performance at the 2014 World Cup, when they reached the knockout round, by progressing from a ""Group of Death"" which includes Colombia, Costa Rica and Paraguay.

Five-time World Cup winners Brazil will be favoured to safely navigate Group B, where they face Ecuador, Haiti and Peru.

The Brazilians open against Ecuador at Pasadena's Rose Bowl on Saturday — scene of their victory at the 1994 World Cup final.

Mexico and Uruguay will be expected to progress from Group C, with Jamaica and Venezuela completing the field.                         © AFP, 2016

Published - June 01, 2016 01:45 pm IST

soccer",01-Jun-16,2016,June,https://www.thehindu.com/sport/football/Messi-targets-Copa-Centenario-cup/article60508593.ece
"Diplodocus, again","With its walnut-sized brain mounted atop a 26-foot-long telescopic neck, the Diplodocus failed to grasp the the implications of the orange-red shooting star, which was becoming brighter by the hour. He continued to relish the tasty tree-top vegetation, beating his shorter but more vicious competitors. That was 65 million years ago.

On July 12, 2017, sitting in the comfy living room in our southern Indian home, my attention was focussed on the TV show, live broadcast of the IIFA (Indian International Film Academy) Award function, held at the ‘brim-filled’ Metlife stadium at New York, with the Bollywood glitterati dancing and prancing about, on a high-voltage digital stage.

Meanwhile, an event

I too failed to grasp the implications of an unusual ecological event happening silently on the same day. Some 9,500 miles south of New York, on the northwestern coast of icy Antarctica, the final separation of the ‘Larsen C’ ice shelf was under way.

I tried search ‘the greatest rift on earth’ and ended up reading one that began behind closed doors in a  Beverly Hills home in Los Angeles, and ended in a private courtroom, where Brad Pitt and Anjelina Jolie separated, upsetting thousands of their fans.

In contrast, the MIDAS site representing the U.K.-based Antarctic Research project, tracking the developing rift in Antarctica, had few visitors; ‘Larsen C’ perhaps did not authorise them to use click-bait.

Captain Carl Anton Larsen, the master of the Norwegian whaling vessel Jason, was sailing along the icy coast of Antarctica in December 1893.

The ice-shelf

Larsen quickly realised that the shoreline he was looking at was not a real one but a shelf of ice protruding out, like a balcony. The only difference was that the natural icy projection was a billion times larger than a balcony. Extending hundreds of miles  and thousands of square miles in area, the shelf was aptly named the ‘Larsen shelf’. They are designated A to E based on location.

The Aqua satellite, armed with MODIS (moderate resolution imaging spectro-radiometer), primarily used to locate and assess water bodies, was the first to pick up a developing crack, a kind of mile-long fault line, in the ice-shelf of Larsen C.

Starting late-2014, scientists of the National Aeronautics and Space Administration (NASA) working with satellite data tracking the rift found that the defect in the Larsen C was growing steadily. By 2016 the crack became 70 miles long and 300 feet wide. By January 2017 it measured 109 miles in length and 1,500 metres in breadth.

On July 12, it broke. The broken shelf, now an official iceberg, was massive, indeed the biggest-ever such iceberg, weighing 1.1 trillion tons and measuring 2,200 square miles.

The consequence

What is the consequence of this rift? The detachment of more than one trillion tons of ice shelf, floating out in the open sea, and eventually melting, is expected to result in, well, just nothing. Ocean levels all over the world will not even rise by 1 cm. It’s no doomsday.

The extinction of Dodo, the loss of hundreds of hectares of rainforest every year, the Royal Bengal Tiger population inching towards zero — none of this brought humanity close to doomsday. We will still enjoy our cup of hot coffee, drive to office and do our work.

The ‘Larsen C’ rift indicates the beginning of a major ecological shift, though. Despite our highly evolved ‘100-billion-neuron’ brain, we have decided to ignore it and munch on our burgers.

Just like the Diplodocus.

tinynair@gmail.com

Published - October 08, 2017 12:00 am IST",08-Oct-17,2017,October,https://www.thehindu.com/opinion/open-page/diplodocus-again/article19819865.ece
Higher provisioning hits PNB net,"The higher provision for bad debts and decline in treasury income had its impact on the revenue of Punjab National Bank (PNB) which posted a marginal 3.4 per cent rise in net profit at Rs.1,105 crore for the first quarter ended June 30, 2011, against Rs.1,068 crore in the year-ago period. Total income, however, grew by 37 per cent to Rs.9,399 crore from Rs.6,863 crore.

“The net profit has been impacted due to higher provisioning, decline in treasury income during the quarter,” Chairman and Managing Director K. R. Kamath told reporters here.

However, the operating profit rose by 18 per cent to Rs.2,474 crore from Rs.2,098 crore. The bank made a total provision of Rs.1,368 crore. Of this, Rs.566 crore was towards bad debts and Rs.475 crore for income tax. Net interest income grew by 20 per cent to Rs.3,155 crore. “There is upward bias on the rates. The bank will decide on the hike on Friday,” he said.

The bank had decided to join hands with MetLife India for a proposed entry into the life insurance segment. “We have considered offers made by various companies and selected MetLife India as our partner,” Mr. Kamath said.

During the year, the bank's net interest margin declined to 3.84 per cent from 3.91 per cent at the end of June, 2010. Capital adequacy of the bank as at the end of June as per the Basel-II norms was 12.42 per cent at the end of June, 2011.

Significantly, the gross non-performing assets (NPAs) as a proportion of advances went up to 2 per cent from 1.82 per cent. Net NPAs also rose to 0.86 per cent from 0.66 per cent. Asserting that gross NPA level was not alarming, Mr. Kamath said the bank had put focus on recovery.

Published - July 29, 2011 01:43 am IST

economy, business and finance",29-Jul-11,2011,July,https://www.thehindu.com/business/companies/higher-provisioning-hits-pnb-net/article2302603.ece
Chile stun Argentina to lift Copa America title,"Holders Chile stunned Argentina to win the Copa America Centenario in a penalty shootout on Sunday as Lionel Messi's title curse struck again.

Messi blazed a penalty over the bar in the shoot-out before Lucas Biglia missed to leave Chile's Francisco Silva with the task of stroking home the winning spot-kick at the MetLife Stadium.

It was a carbon copy of last year's Copa America final, also won by Chile on penalties after a goalless draw.

Argentina's players meanwhile were left disconsolate as they digested a third defeat in a major final following losses to Germany in the 2014 World Cup and Chile in last year's Copa.

The defeat also ensured Argentina's 23-year wait for a major title — and a first for five-time world player of the year Messi — continued.

The final had gone to penalties after finishing deadlocked at 0-0 after 120 minutes.

Both sides were reduced to 10 men in the first half as Brazilian referee Heber Lopes struggled to get a grip on an ill-tempered contest played in front of a crowd of 82,026.

The first yellow card of the match came in the 16th minute when Marcelo Diaz brought down Messi with a cynical hack across the thighs as the Barcelona star advanced on the Chilean goal.

Argentina should have taken the lead on 21 minutes when a defensive blunder from Gary Medel, miscontrolling a back pass, allowed Gonzalo Higuain to go clean through on goal.

Chile let-off

Higuain had time and space but opted to lift his shot over the advancing Bravo and it rolled wide of the post in a huge let-off for Chile.

It was a nightmarish case of deja vu for Higuain, who missed potentially match winning chances in both the 2014 World Cup final and last year's Copa America.

Seven minutes later Chile were left rocking when Messi burst forward only to be bodychecked blatantly by Diaz.

For a moment it appeared that referee Lopes had forgotten Diaz's earlier caution but eventually he brandished a red card and Chile were down to 10.

It ought to have been a warning to both sides but the spiteful tone continued for the remainder of the half, with Javier Mascherano and Arturo Vidal next into the book in the 37th minute.

The next flare-up came on 40 minutes when Messi darted into the box at high speed and tumbled over following a collision with Jose Pedro Fuenzalida.

Chile's players surrounded Lopes demanding a yellow card for a dive and Messi was duly booked even though it looked for all the world as if he had simply gone down after being caught off balance.

Two minutes from half-time and Lopes was reaching for a red card, this time sending off Manchester United's Marcos Rojo for a rough tackle on Vidal.

The cards continued in a fractious start to the second half, Jean Beausejour booked for hacking at Gabriel Mercado.

A cynical foul on Messi by Charles Aranguiz resulted in another yellow card.

The introduction of Sergio Aguero for Higuain had little effect with Argentina failing to break the stalemate.

Chile striker Eduardo Vargas went close on the 80th minute, thumping a fierce low shot that Romero did well to block at his near post.

Aguero had a chance to steal victory in the 84th minute when he was worked into space on the right of the box but he blazed his shot high and wide.

There was still time for late drama when Ramiro Funes-Mori made a stunning match-saving block to deny Alexis Sanchez.

From the Argentinian counter-attack, Messi surged forward from halfway to shoot wide.

Amid suffocating tension in extra-time, Chile had the best early chance to score in the 98th minute when he headed Edson Puch's cross only to be denied by Romero.

Aguero then drew a fine save from Bravo with a looping header.

After that there was little in the way of chances, leaving the game to hinge on the penalty shootout.

Published - June 27, 2016 09:07 am IST

soccer",27-Jun-16,2016,June,https://www.thehindu.com/sport/football/Chile-stun-Argentina-to-lift-Copa-America-title/article60562664.ece
"I’ll be marked now, need to find new strategy every time, says Sindhu","Indian badminton ace P V Sindhu says she will be marked by opponents after her World Championships gold and would need to constantly discover “new things” in her game to maintain her stranglehold on international badminton.

Olympic silver medallist Sindhu became the first Indian to win a historic World Championships gold medal after thrashing Japan’s Nozomi Okuhara 21-7 21-7 in a lop-sided final at Basel, Switzerland last month.

Asked about the challenges that she will face from now on, Sindhu, who boasts of two silver and as many bronze in the World Championships, said: “Pressure and responsibility will now be more. I know everybody will mark me now after the World Championship.

“Now I have to really work harder and change a few things and come with new things because everyone can see my game and know what I am playing. So I have to go with new strategy every time I go into the court,” Sindhu told reporters in New Delhi.

The 24-year-old from Hyderabad said the World Championships gold medal took a long time coming and it was a result of hard work, besides all the sacrifices that her parents have made over the years.

“I have been wanting this gold for five years. I have been losing every time. I also used to feel sad, but I always kept fighting back and working hard. My parents made a lot of sacrifices for me,” she said.

“Coaches role also has been important. My first coach was Mehboob Ali and then I have been under Gopi sir since I was 10. In badminton, you need to have a strong mindset.”

Sindhu will next play at the China Open World Tour Super 1000 (September 17-22) and Korea Open World Tour Super 500 (September 24-29) at Changzhou and Incheon City respectively.

“I am preparing for China and Korea Open, I will be leaving in a few days, that is my immediate goal. I hope to give my best,” she said on the sidelines of the PNB MetLife Junior Badminton Championship (JBC).

“This (gold) medal gave a big boost and I will move with this confidence. There are many events before Olympics, so I will just give 100 percent instead of taking pressure.”

Asked if there was any pressure ahead of the World Championships final, Sindhu said: “There was no pressure in the final. The quarterfinals was one of the good matches against Tai Tzu.

“Playing Okuhara, everyone was saying whether I will repeat the 2017 final but for me I was not thinking about that. It was a fresh match for me. We knew each others’ game, as we have played a lot against each other. So there was no particular strategy.”

National coach Pullela Gopichand had recently said that India have not “invested enough in coaches”.

Asked about her opinion on this issue, Sindhu said: “There needs to be high level coaches, where they need to know everything about badminton to create a champion.

“Of course, Gopi sir himself has been a great player and a great coach. Now we have other coaches from abroad and they are helping us. But national coaches need to be much qualified, then definitely they can train more players and they will become champions.”

Talking about the role of foreign coach Kim Ji Hyun of Korea, Sindhu said: “For last couple of months, I have been training with Kim under the guidance of Gopi sir. It is not just one stroke, each stroke is important, we have to make each stroke perfect.

“We have been working on defence and front and back court and that really helped me.”

Sindhu, who felicitated the winners of PNB MetLife Junior Badminton Championship (JBC), also gave a big thumbs-up to the tournament which completed its fifth edition here on Tuesday.

“It is a great idea and it is encouraging players of grassroot level. The number of participants is increasing and talent is there and we need to have tournaments like this for them to grow,” she said.

“PNB Metlife is encouraging and supporting each of them.”

Published - September 10, 2019 07:52 pm IST

badminton",10-Sep-19,2019,September,https://www.thehindu.com/sport/other-sports/ill-be-marked-now-need-to-find-new-strategy-every-time-says-sindhu/article29384735.ece
Trump to lead task force preparing for 2026 World Cup,"President Donald Trump created a task force Friday (March 7, 2025) to prepare for the 2026 World Cup, which will bring the globe's premier football tournament to North America at a time when his on-again, off-again tariffs have ratcheted up tensions across the continent.

“I think it's going to make it more exciting,” Mr. Trump said of playing the World Cup amid sharp rhetoric between leaders of the host nations. “Tension's a good thing.”

The task force, which Mr. Trump will chair, will coordinate the federal government's security and planning for the tournament, which is expected to draw millions of tourists to the United States, Canada and Mexico.

“It's a great honour for our country to have it,” Mr. Trump said of the World Cup after meeting with officials from FIFA, the international football governing body. He said he'd like to attend multiple games.

Preparations are ramping up across the continent alongside tensions between the United States and its neighbours as Mr. Trump has repeatedly threatened to impose tariffs before backing off, spooking markets and leading to fears of a trade war and economic downturn. He also speaks pejoratively of Canadian Prime Minister Justin Trudeau and muses about Canada becoming a US state, which has boosted national pride north of the border.

For 2026, the World Cup will expand to 48 teams playing 104 matches across three nations, the first time the tournament will be split between countries. Seventy-eight of 104 matches will be played in the US, with 13 games each in Mexico and Canada, and as many as six matches a day. The final will be played July 19 at MetLife Stadium in New Jersey.

FIFA President Gianni Infantino said the task force will ensure that each of the visitors who will travel from around the world “feels safe, feels happy and feels that we are doing something special.”

“So we're here to create and to make the best show on the planet ever,” Mr. Infantino said. He gave Mr. Trump a personalised game ball and unveiled an elaborate trophy that will go to the winner of the 2025 FIFA Club World Cup, which will pit top football clubs against each other this summer ahead of next year's matchup of national teams.

Mr. Trump later brought Infantino to show off the trophy at the start of a White House cryptocurrency summit. The United States, where football has grown in popularity but remains a niche sport, represents a major growth area for football, he said.

Mr. Infantino likened producing the World Cup to holding three Super Bowls daily for a month, a dizzying security and logistical challenge for the host governments.

The Trump administration will face a second test on the global sports stage in 2028, when the summer Olympics will be held in California, the first time the Games will have been in the US since Salt Lake City hosted in 2002.

Published - March 08, 2025 08:58 am IST

USA
                    
                            /                      
                        
                        soccer
                    
                            /                      
                        
                        World Cup",08-Mar-25,2025,March,https://www.thehindu.com/news/international/trump-to-lead-task-force-preparing-for-2026-world-cup/article69305600.ece
Life insurance companies to discuss SEBI order,"Against the backdrop of Securities and Exchange Board of India banning 14 life insurers from selling unit linked insurance products (ULIPs), the insurers are likely to meet here on Monday to examine various options open to them for relief against the order.

SEBI had, on Friday, banned 14 life insurance companies from selling ULIPs on the ground that they were akin to mutual funds and were launched without obtaining registration from it.

The insurance companies are likely to meet the Life Insurance Council on Monday to examine the various options including legal to counter the SEBI order.

The market regulator has banned 14 insurers — ICICI Prudential Life, Bharti AXA Life, Reliance Life, Aviva Life Bajaj Allianz Life, Birla Sun Life, Metlife Insurance, Tata AIG Life, Aegon Religare, HDFC Standard, Kotak Life, Max New York Life, ING Vyasa Life and SBI Life, from selling ULIPs. There is also speculation that SEBI would issue show casue notices to LIC and a few other life insurers for not seeking its approval before launching their ULIPs. SEBI has ordered all the 14 companies not to issue any offer document, advertisement, brochure soliciting money from investors or raise money by way of new and/or additional subscription for any product (including ULIPs) having an investment component in the nature of mutual funds, till they obtain the requisite certificate of registration from it.

SEBI had issued notices to these life insurers on January 15 except HDFC Standard Life, which was issued notice in December last, asking why they had not obtained permission from it before launching ULIPs. SEBI's contention is that ULIPs offered by the life insurers are a combination of investment and insurance and, therefore, the investment component is in the nature of mutual funds which can only be offered or launched after obtaining registration from SEBI.

Life insurers said that they have not yet received the SEBI order. Reacting to the SEBI's notice, insurance sector regulator, IRDA, said that ULIPs offered by different insurance companies are safe and secure and “the matter arising out of the recent orders of the SEBI would be addressed expeditiously in an appropriate forum in accordance with law.”

Published - April 11, 2010 12:58 am IST

economy, business and finance
                    
                            /                      
                        
                        insurance
                    
                            /                      
                        
                        financial and business service",11-Apr-10,2010,April,https://www.thehindu.com/business/Life-insurance-companies-to-discuss-SEBI-order/article16365475.ece
FIFA to pay $1 billion prize money for Club World Cup: source,"FIFA will pay total prize money of one billion dollars to participants in the Club World Cup taking place in the United States this year, a source close to negotiations told AFP on Wednesday.

The figure is significantly more than the prize money offered for either the last men's or women's World Cups.

World football's governing body has given few details about the funding of the first edition of the 32-team tournament that will take place every four years but it has signed up a broadcaster and major sponsors in recent weeks.

British streaming service DAZN was awarded the exclusive global rights to the June 14-July 13 tournament in December with a source close to the negotiations saying the contract was worth around one billion euros ($1.05 billion).

FIFA has also signed sponsorship contracts with Coca-Cola, Bank of America, Chinese electronics brand Hisense and Belgian brewers AB InBev.

By comparison the total prize money for the 2022 men's World Cup in Qatar was $440 million, while for the 2023 Women's World Cup in New Zealand and Australia it was $110 million.

This season's UEFA Champions League, with a new 36-club format, will pay a total 2.47 billion euros ($2.66 billion) to the clubs involved.

FIFA's expansion of the tournament has been met by widespread criticism, especially in Europe, largely due to concerns over player welfare.

The global footballers' union FIFPro and the European Leagues association filed a complaint with the European Commission in October against FIFA, accused of abusing its dominant position by packing the calendar.

The Champions League was also expanded by UEFA this season and some players, including Ballon d'Or winner Rodri and Liverpool captain Virgil van Dijk, have raised the prospect of a strike.

""I think we are close to that. I think if you ask any player he will say the same,"" said Rodri when asked in September if there was a possibility of players going on strike, shortly before suffering a season-ending knee injury.

""It is not the opinion of Rodri or whatever. I think it's the general opinion of the players.""

The tournament will feature 12 teams from Europe, six from South America and four each from Asia, Africa and North and Central America.

Auckland City and Lionel Messi's Inter Miami complete the line-up.

Not all the reaction has been negative, with Paris Saint-Germain coach Luis Enrique insisting ""everyone"" would want to play.

""Once every four years there's this new, extremely exciting competition. Everyone wants to go to the Club World Cup,"" he said last year.

The tournament will be held at 12 venues across 11 cities in the United States, with the final at the MetLife Stadium, which will also host the 2026 World Cup final, in New Jersey.

Published - March 05, 2025 11:43 pm IST

Football
                    
                            /                      
                        
                        soccer
                    
                            /                      
                        
                        sport",05-Mar-25,2025,March,https://www.thehindu.com/sport/football/fifa-to-pay-1-billion-prize-money-for-club-world-cup-source/article69295884.ece
International Indian Film Academy 2017 awards in New York,"The 18th edition of the International Indian Film Academy awards (IIFA) ended on a high with                         Udta Punjab         winning four awards.                         Neerja         and                         Ae Dil Hai Mushkil         won three awards each.

The event was attended by many film personalities including Salman Khan, Shahid Kapoor, Katrina Kaif, Alia Bhatt, Sushant Singh Rajput, Kriti Sanon and Varun Dhawan among others.

This year also saw the introduction of the first-of-its-kind “Shuruaat Gala” Dinner, the IIFA Societal Innovation Summit, a charity fundraiser organized by IIFA in association with The Global Education and Leadership Foundation (TGELF) at The Pierre in New York. It brought together the biggest celebrities from Bollywood and leaders from business, philanthropy, media, education and arts field.

Published - July 17, 2017 12:05 pm IST

film festival
                    
                            /                      
                        
                        Hindi cinema",17-Jul-17,2017,July,https://www.thehindu.com/entertainment/movies/international-indian-film-academy-2017-awards-in-new-york/article56832780.ece
Ed Sheeran to return to India for ‘+ - = ÷ x Tour’ in 2024,"British singer-songwriter Ed Sheeran is coming back to India and this time, it’s for his ‘+ - = ÷ x’ tour. The India leg of the tour will be the final stop in the Asia Tour and will be held at the Mahalaxmi Racecourse in the heart of Mumbai on March 16th, 2024. Fellow British singer and songwriter Calum Scott will be the special guest on the upcoming tour.

The new tour will mark Sheeran’s return to India six years after his outing with the ‘Divide’ Tour in 2017. This comes hot on the heels of his USA tour, where he set multiple attendance records including Los Angeles’ SoFi Stadium and New Jersey’s MetLife Stadium; the latter seeing Sheeran secure the largest single-day concert attendance in the USA, ever. Earlier this year, the four-time Grammy Award-winning artist released two albums, ‘Subtract’ and ‘Autumn Variations’.

The upcoming tour will also mark Sheeran’s return to Asia after 2019. Sheeran’s two-hour ‘+ - = ÷ x’ Tour will draw from all of his albums since 2011 – ‘Plus’, ‘Multiply’ (2014), ‘Divide’ (2017), ‘Equals’ (2021) and the new ‘Subtract’, and also includes a song from 2019’s ‘No. 6 Collaborations Project (‘Blow’).

The general on-sale of tickets will go live at 3 pm IST on October 27 on BookMyShow and Ed Sheeran’s website.

Published - October 20, 2023 12:17 pm IST

music
                    
                            /                      
                        
                        pop music
                    
                            /                      
                        
                        music festival
                    
                            /                      
                        
                        music industry",20-Oct-23,2023,October,https://www.thehindu.com/entertainment/ed-sheeran-to-return-to-india-for-%C3%B7-x-tour-in-2024/article67441718.ece
